id,gender,margin,year
1433018,female,20,23
1433406,female,11,15
1456220,female,20,25
1537934,male,18,21
1559425,female,18,22
1576001,female,14,21
1674425,female,18,25
1733701,male,21,29
1796136,female,28,37
1917128,female,15,24
1925325,female,16,32
1976613,female,18,32
1976807,female,11,28
2006503,female,15,33
2013123,male,0,17
2067627,female,8,26
2075533,female,10,33
2126709,male,6,26
2144026,male,11,25
2150621,male,13,33
2163502,male,6,35
2170413,female,8,38
2184520,female,10,39
2185224,female,10,39
2192814,male,8,36
2210116,male,9,42
2220206,female,4,37
2222718,male,5,38
2237007,male,1,34
2237335,female,6,38
2247134,male,14,43
2261926,male,7,38
2262727,male,3,35
2262824,male,4,38
2311622,female,8,41
2413213,female,7,41
2421313,male,4,39
2506425,male,7,42
2515326,female,9,32
2515908,female,7,42
2517025,male,10,44
2522200,female,1,37
